tower_id,radio,operator,net,lat,lon,range,area
14259458,LTE,e&,3,26.6876,31.6062,1000,42425
12972303,LTE,e&,3,26.6925,31.6042,1000,42425
12972302,LTE,e&,3,26.6949,31.6033,1000,42425
12972289,LTE,e&,3,26.6967,31.6022,1000,42425
12972300,LTE,e&,3,26.6992,31.5998,1000,42425
12972299,LTE,e&,3,26.7016,31.5974,1000,42425
13156354,LTE,e&,3,26.7056,31.5933,1000,42425
13156376,LTE,e&,3,26.7117,31.5871,1000,42425
13156377,LTE,e&,3,26.7158,31.5829,1000,42425
13156100,LTE,e&,3,26.7195,31.5776,1000,42425
13425410,LTE,e&,3,26.7244,31.5703,1000,42425
13425409,LTE,e&,3,26.7296,31.5624,1000,42425
13302017,LTE,e&,3,26.7339,31.5544,1000,42425
14125316,LTE,e&,3,26.7382,31.5416,1000,42425
14323458,LTE,e&,3,26.7453,31.5295,1000,42425
13302019,LTE,e&,3,26.7423,31.5327,1000,42425
14323457,LTE,e&,3,26.7519,31.5221,1000,42425
14097666,LTE,e&,3,26.7602,31.5133,1107,42367
13251331,LTE,e&,3,26.7663,31.5075,1000,42367
14097665,LTE,e&,3,26.7683,31.5058,1000,42367
14097668,LTE,e&,3,26.7697,31.5047,1000,42367
13251332,LTE,e&,3,26.7719,31.503,1000,42367
14252804,LTE,e&,3,26.7746,31.5009,1000,42367
13326596,LTE,e&,3,26.7782,31.498,1000,42367
13407235,LTE,e&,3,26.7818,31.4951,1000,42367
13327105,LTE,e&,3,26.7873,31.4934,1000,42367
13332226,LTE,e&,3,26.7982,31.4921,1000,42367
13332225,LTE,e&,3,26.8079,31.4908,1000,42367
14260737,LTE,e&,3,26.819,31.4878,1000,42367
14281731,LTE,e&,3,26.8296,31.4847,1000,42364
14281732,LTE,e&,3,26.8375,31.4809,1000,42364
13158915,LTE,e&,3,26.8409,31.4785,1000,42364
13158916,LTE,e&,3,26.8497,31.472,1000,42364
14210305,LTE,e&,3,26.8622,31.4634,1636,42364
13302815,LTE,e&,3,26.8548,31.4686,1000,42364
14097410,LTE,e&,3,26.8579,31.4664,1000,42364
14097412,LTE,e&,3,26.8614,31.4639,1000,42364
14097411,LTE,e&,3,26.8631,31.4626,1000,42364
13302825,LTE,e&,3,26.8656,31.4609,1000,42364
13147394,LTE,e&,3,26.8762,31.4543,1000,42364
13147396,LTE,e&,3,26.8871,31.4477,1000,42364
12887555,LTE,e&,3,26.8965,31.441,1000,42363
12887553,LTE,e&,3,26.9031,31.4341,1000,42363
14277635,LTE,e&,3,26.905,31.4321,1000,42363
14277636,LTE,e&,3,26.9076,31.4294,1000,42363
14239490,LTE,e&,3,26.9123,31.4247,1000,42363
14239491,LTE,e&,3,26.9161,31.4207,1000,42363
13149698,LTE,e&,3,26.9225,31.4141,1000,42363
13149699,LTE,e&,3,26.9285,31.4081,1000,42363
14178307,LTE,e&,3,26.9353,31.4023,1000,42363
13544728,LTE,e&,3,26.9414,31.3971,1000,42363
13544705,LTE,e&,3,26.947,31.3923,1000,42363
14119682,LTE,e&,3,26.9546,31.3859,1000,42363
14119711,LTE,e&,3,26.9603,31.3808,1000,42363
13152258,LTE,e&,3,26.9616,31.3794,1000,42363
13152259,LTE,e&,3,26.9628,31.378,1000,42363
13152260,LTE,e&,3,26.9684,31.3719,1000,42363
13293827,LTE,e&,3,26.9763,31.3649,1000,42363
13293828,LTE,e&,3,26.9843,31.3587,1000,42363
13233922,LTE,e&,3,26.9938,31.3511,1000,42367
13233923,LTE,e&,3,27.0065,31.341,1101,42367
13158147,LTE,e&,3,27.0168,31.3329,1000,42367
13158403,LTE,e&,3,27.0209,31.3296,1000,42367
13148163,LTE,e&,3,27.023,31.328,1000,42367
13158404,LTE,e&,3,27.0266,31.3251,1000,42367
13379842,LTE,e&,3,27.0311,31.3215,1000,42367
12981506,LTE,e&,3,27.0348,31.3187,1000,42367
13379843,LTE,e&,3,27.0385,31.3164,1000,42367
13178370,LTE,e&,3,27.0426,31.315,1000,42367
13234179,LTE,e&,3,27.0443,31.3144,1000,42367
14128131,LTE,e&,3,27.0451,31.3142,1000,42367
14115588,LTE,e&,3,27.0462,31.3138,1000,42367
14128129,LTE,e&,3,27.0474,31.3135,1000,42367
13178369,LTE,e&,3,27.0552,31.3114,1000,42367
12888323,LTE,e&,3,27.0549,31.3114,1000,42367
13253890,LTE,e&,3,27.0643,31.3088,1000,42367
13253889,LTE,e&,3,27.0686,31.3076,1000,42367
13412354,LTE,e&,3,27.0736,31.3062,1000,42363
14119179,LTE,e&,3,27.0834,31.3034,1000,42363
13163267,LTE,e&,3,27.0909,31.3013,1000,42363
13163275,LTE,e&,3,27.0966,31.2997,1000,42363
13096195,LTE,e&,3,27.0994,31.2989,1000,42363
13096232,LTE,e&,3,27.1008,31.2984,1000,42363
13096196,LTE,e&,3,27.1016,31.2982,1000,42363
13096193,LTE,e&,3,27.1029,31.298,1000,42363
14144022,LTE,e&,3,27.1044,31.2977,1000,42363
13163012,LTE,e&,3,27.111,31.2971,1000,42363
14144021,LTE,e&,3,27.11,31.2972,1000,42363
13163009,LTE,e&,3,27.1267,31.2904,2715,42363
13163523,LTE,e&,3,27.1263,31.2958,1000,42363
14107651,LTE,e&,3,27.1376,31.2946,1000,42363
14107652,LTE,e&,3,27.146,31.2856,1000,42363
13417476,LTE,e&,3,27.1467,31.2727,1000,42363
13013762,LTE,e&,3,27.1466,31.2626,1000,42362
13164290,LTE,e&,3,27.1466,31.2634,1000,42362
13013763,LTE,e&,3,27.1465,31.2503,1000,42362
13164291,LTE,e&,3,27.1464,31.2342,1248,42362
14181634,LTE,e&,3,27.1464,31.24,1000,42362
14181633,LTE,e&,3,27.1464,31.2401,1000,42362
14181635,LTE,e&,3,27.1464,31.2307,1000,42362
13164546,LTE,e&,3,27.1464,31.2199,1000,42362
14298627,LTE,e&,3,27.1554,31.2096,1312,42362
14182169,LTE,e&,3,27.15,31.2125,1000,42362
13233667,LTE,e&,3,27.1535,31.21,1000,42362
14322179,LTE,e&,3,27.1578,31.207,1000,42362
14322180,LTE,e&,3,27.1678,31.2004,1000,42362
13448962,LTE,e&,3,27.1719,31.1975,1000,42362
14190593,LTE,e&,3,27.1742,31.1952,1000,42362
14122753,LTE,e&,3,27.1756,31.1936,1000,42362
14122755,LTE,e&,3,27.1776,31.1914,1000,42362
13374977,LTE,e&,3,27.1793,31.1895,1000,42362
14300162,LTE,e&,3,27.1822,31.1864,1000,42362
14300164,LTE,e&,3,27.1868,31.1814,1000,42362
14253057,LTE,e&,3,27.19,31.1781,1000,42362
13355521,LTE,e&,3,27.1957,31.1738,1000,42362
14183425,LTE,e&,3,27.197,31.1664,1000,42362
13463554,LTE,e&,3,27.1944,31.161,1000,42362
12844802,LTE,e&,3,27.1947,31.1617,1000,42362
13545473,LTE,e&,3,27.1903,31.1528,1000,42362
13545474,LTE,e&,3,27.1875,31.1472,1000,42362
13545475,LTE,e&,3,27.1847,31.1345,1000,42362
13059330,LTE,e&,3,27.1891,31.1231,1000,42362
13059331,LTE,e&,3,27.1941,31.1147,1000,42362
14182401,LTE,e&,3,27.1974,31.1093,1000,42362
13059075,LTE,e&,3,27.2015,31.1025,1000,42362
13060099,LTE,e&,3,27.2066,31.0941,1000,42362
